District,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhajinagar,0.444,28.889,"1,645.89",859,646.78,170.44,1248.56,396.89,30.78,2.78,244.22,1427.67,133.22,0,1540.89,1668.444444,6.444444,1614.778,61.33333,67.77778,1608.222,344.7778,1331.111,1658.556,17,949.3333,726.7778,726.7778,104.8889
DHARASHIV,1.125,57.125,1816,237.75,189.625,1447.625,1479.625,319.25,260.25,17.75,211.25,1555.625,10,1.125,1976.25,1970.625,2.25,224.875,1649,118.125,1756.375,472.875,1399.75,659.125,1183.375,678.125,1843.625,49,1916.625
Dhule,1.25,47.75,3116.75,311.5,2907.5,97,3089.75,70.25,6,7.75,548.5,2609.75,1.75,0.5,3163.5,3160.5,5.5,2799,367,2244.5,921.5,2294.5,871.25,3165.25,0.75,2499.5,666.25,3160,6.25
GADCHIROLI,9.75,1466.417,73.83333,802.9167,602.5833,80.08333,1049.167,334.8333,337.6667,611.5833,497.1667,77.33333,19.25,6.583333,1399.083,1455.5,7.416667,430.0833,1154.083,678.25,837.25,329,1160.083,1101.667,262.25,887,616,787.5833,750.9167
GONDIA,0.75,128.25,1240.25,195.25,1076,199.25,1243,78.25,4.75,233.75,1123.25,314.75,0.75,0.25,1371.25,1370.75,9.25,988.5,417.25,1272.25,328.5,933,394.5,1149.25,268.75,1200.25,226.75,1281.75,86.75
HINGOLI,5,1209,1074.8,6.4,1887.4,397.8,1410.2,639.6,3.4,8.6,556.8,1725.6,0,0.2,2290.8,2290.8,0.2,1013.8,1277,1457.4,833.4,952.2,1344.6,2235.2,28,1483.6,905.2,2059.6,231
NANDURBAR,0,315.5,1767.667,43.16667,2038.833,1.333333,182.1667,1891.333,9.833333,42.33333,965.8333,1075,2,0,2080.667,2073.167,9.833333,1421.167,662.1667,1286.667,796.6667,905.5,1177.833,2083.333,0,1076.5,1006.833,1974.5,108.8333
PARBHANI,1.666667,86.44444,1563.333,0.888889,1052.444,599.5556,1648.667,2.333333,2.555556,0.777778,2,1645.222,8.444444,6.555556,1626.444,1645,0.333333,351.8889,1301.667,803.7778,850.4444,512.2222,1142,1653,0.777778,1276.222,377.2222,1651.444,2.777778
NASHIK,1.4,341,1042,131.8,1171.867,80.73333,602.9333,768.8667,12.53333,128.6667,541.6,713.8667,69.93333,1.733333,1311.667,1373.8,9.933333,766.2,617.3333,697.2667,685.9333,708.6,674.3333,1380.867,1.6,780.4,602.8667,1348.333,34.8
